aX,aY,aZ,gX,gY,gZ
5476.00,-2938.00,20117.00,520.00,376.00,-70.00
4692.00,-3209.00,21431.00,333.00,2020.00,170.00
-905.00,-1519.00,14814.00,-361.00,1652.00,529.00
1610.00,-2485.00,13024.00,-1199.00,590.00,971.00
3813.00,-2803.00,13704.00,-686.00,1771.00,1189.00
841.00,-1856.00,16607.00,-390.00,2756.00,1248.00
611.00,-1977.00,16718.00,-1125.00,2030.00,1094.00
920.00,-1917.00,14888.00,-1144.00,1620.00,691.00
218.00,-1091.00,14307.00,-888.00,1618.00,196.00
-298.00,-248.00,14113.00,-728.00,1606.00,-258.00
-539.00,595.00,13662.00,-819.00,1133.00,-175.00
-405.00,638.00,13486.00,-1444.00,-433.00,289.00
-175.00,-167.00,13218.00,-1803.00,-968.00,395.00
130.00,95.00,12752.00,-2043.00,-1220.00,295.00
1135.00,877.00,11858.00,-2200.00,-1177.00,13.00
2264.00,2027.00,8790.00,-2183.00,-898.00,103.00
2368.00,1869.00,7278.00,-2514.00,-393.00,508.00
2648.00,1022.00,4497.00,-2561.00,-140.00,629.00
2463.00,750.00,3688.00,-2449.00,319.00,777.00
2116.00,542.00,3237.00,-2078.00,1146.00,1139.00
931.00,70.00,2421.00,-2012.00,1137.00,1050.00
334.00,-226.00,1795.00,-1827.00,831.00,517.00
-297.00,-1315.00,549.00,-1720.00,804.00,331.00
-633.00,-1944.00,28.00,-1473.00,912.00,300.00
-995.00,-2407.00,-606.00,-1245.00,841.00,316.00
-947.00,-2841.00,-1353.00,-945.00,571.00,212.00
-458.00,-2779.00,-1448.00,-359.00,-290.00,-19.00
-168.00,-2425.00,-2496.00,-84.00,-598.00,84.00
-434.00,-2249.00,-2866.00,507.00,-714.00,239.00
-846.00,-2159.00,-2178.00,792.00,-664.00,155.00
-785.00,-2152.00,-1652.00,1045.00,-584.00,0.00
-544.00,-2151.00,-1077.00,1359.00,-242.00,-282.00
-64.00,-1783.00,-346.00,1422.00,-58.00,-240.00
-277.00,-1083.00,-311.00,1615.00,2.00,97.00
-59.00,68.00,661.00,1674.00,-215.00,277.00
-95.00,527.00,1291.00,1659.00,-624.00,462.00
124.00,553.00,2322.00,1720.00,-1661.00,379.00
697.00,-397.00,5580.00,1696.00,-1866.00,307.00
332.00,-378.00,6236.00,1483.00,-1602.00,216.00
668.00,-97.00,6971.00,1421.00,-1639.00,69.00
1736.00,75.00,8116.00,1324.00,-1883.00,93.00
2698.00,397.00,9043.00,1359.00,-2155.00,405.00
4084.00,131.00,7679.00,1807.00,-1905.00,276.00
3446.00,61.00,8285.00,2697.00,-854.00,-267.00
3774.00,-1064.00,12073.00,2481.00,-1013.00,-458.00
4177.00,-1589.00,13145.00,2187.00,-1280.00,-510.00
3726.00,-1385.00,13147.00,1897.00,-883.00,-257.00
3115.00,256.00,12276.00,1923.00,-318.00,-282.00
4223.00,129.00,13125.00,1943.00,501.00,-675.00
5462.00,-1957.00,17605.00,1842.00,430.00,-835.00
4465.00,-2609.00,19276.00,1702.00,13.00,-880.00
2990.00,-2384.00,19511.00,1367.00,-445.00,-455.00
871.00,-606.00,20140.00,1133.00,50.00,-130.00
648.00,-216.00,21864.00,313.00,1412.00,606.00
1287.00,-485.00,23921.00,-127.00,1721.00,951.00
1407.00,-327.00,23047.00,-733.00,1577.00,985.00
613.00,251.00,20095.00,-947.00,1347.00,639.00
-45.00,543.00,18729.00,-1209.00,1106.00,257.00
-523.00,939.00,17400.00,-1602.00,805.00,-244.00
-179.00,1695.00,14432.00,-1626.00,718.00,-468.00
268.00,1999.00,12700.00,-1613.00,669.00,-1000.00
1069.00,2292.00,10195.00,-1690.00,860.00,-1092.00
1370.00,2120.00,9745.00,-1788.00,1124.00,-980.00
1506.00,1833.00,9382.00,-2055.00,1148.00,-537.00
1412.00,2092.00,7436.00,-2344.00,908.00,-359.00
1411.00,1732.00,6176.00,-2505.00,651.00,-343.00
2005.00,1210.00,4147.00,-2256.00,742.00,-417.00
2313.00,915.00,3453.00,-2040.00,800.00,-382.00
2524.00,603.00,2790.00,-1876.00,497.00,-198.00
1758.00,52.00,441.00,-1794.00,170.00,-99.00
1228.00,-316.00,-677.00,-1309.00,-395.00,14.00
772.00,-1180.00,-1407.00,-1037.00,-438.00,76.00
596.00,-1593.00,-1496.00,-848.00,-318.00,160.00
555.00,-1751.00,-1533.00,-637.00,284.00,224.00
783.00,-2229.00,-1636.00,-502.00,584.00,202.00
769.00,-2567.00,-1814.00,-192.00,452.00,255.00
-252.00,-2785.00,-3173.00,-9.00,212.00,308.00
-812.00,-2651.00,-3706.00,244.00,0.00,315.00
-1051.00,-2549.00,-3563.00,890.00,-175.00,248.00
-919.00,-2478.00,-2088.00,1150.00,-243.00,217.00
-907.00,-2289.00,-1115.00,1514.00,-288.00,177.00
-1469.00,-1312.00,293.00,1626.00,-205.00,151.00
-1652.00,-257.00,102.00,1788.00,-123.00,13.00
-1054.00,1750.00,-286.00,2813.00,-280.00,-363.00
-417.00,1167.00,4061.00,3467.00,-553.00,-339.00
-547.00,22.00,7864.00,3168.00,-618.00,-497.00
-1444.00,2076.00,10823.00,2657.00,-192.00,-651.00
-226.00,3190.00,9308.00,2371.00,49.00,-874.00
2434.00,3365.00,7460.00,2429.00,-124.00,-943.00
4903.00,2753.00,8952.00,2569.00,-294.00,-557.00
3203.00,2696.00,11525.00,2560.00,-1008.00,164.00
100.00,2852.00,14447.00,2346.00,-1212.00,149.00
157.00,2759.00,14892.00,1632.00,-441.00,-57.00
833.00,2715.00,14676.00,1269.00,22.00,-12.00
2843.00,2943.00,11229.00,1100.00,15.00,146.00
3054.00,2556.00,10422.00,1575.00,-640.00,604.00
530.00,1948.00,13954.00,1799.00,-762.00,722.00
-987.00,1928.00,16111.00,1446.00,-448.00,447.00
-481.00,2449.00,17770.00,1014.00,-95.00,173.00
359.00,2498.00,17311.00,611.00,252.00,51.00
921.00,2638.00,16328.00,245.00,99.00,197.00
1409.00,2152.00,16422.00,293.00,-161.00,385.00
873.00,2102.00,17711.00,19.00,-363.00,553.00
-236.00,2523.00,19002.00,-380.00,-276.00,462.00
-127.00,2660.00,18717.00,-859.00,21.00,310.00
533.00,2700.00,17905.00,-1816.00,615.00,87.00
1619.00,3079.00,15039.00,-2200.00,630.00,70.00
1736.00,3363.00,13550.00,-2538.00,373.00,149.00
1527.00,3529.00,12439.00,-2531.00,364.00,202.00
1454.00,3177.00,12540.00,-2523.00,444.00,256.00
1348.00,2707.00,12419.00,-2798.00,581.00,301.00
1299.00,2426.00,10349.00,-3015.00,569.00,248.00
1431.00,2502.00,8858.00,-3254.00,353.00,276.00
2525.00,2482.00,6867.00,-3170.00,146.00,383.00
2443.00,2149.00,6782.00,-2998.00,-30.00,500.00
1731.00,1708.00,6565.00,-2801.00,-215.00,610.00
733.00,529.00,5050.00,-2764.00,-161.00,583.00
596.00,-137.00,4303.00,-2638.00,311.00,514.00
903.00,-706.00,2593.00,-2512.00,451.00,475.00
1234.00,-915.00,2007.00,-2306.00,448.00,457.00
1225.00,-1146.00,1626.00,-1855.00,300.00,534.00
438.00,-1708.00,982.00,-1647.00,221.00,543.00
337.00,-2011.00,597.00,-1244.00,332.00,507.00
86.00,-2519.00,54.00,-1019.00,437.00,483.00
-18.00,-2748.00,66.00,-566.00,305.00,412.00
-741.00,-3028.00,53.00,-395.00,177.00,363.00
-1089.00,-3061.00,-277.00,-254.00,52.00,278.00
