aX,aY,aZ,gX,gY,gZ
-7178.00,4390.00,4626.00,209.00,3572.00,-4449.00
-5364.00,4496.00,5840.00,1076.00,2753.00,-5639.00
-3732.00,4315.00,7347.00,1390.00,2705.00,-5580.00
-3162.00,3288.00,8703.00,1552.00,4421.00,-4448.00
-3665.00,3337.00,7431.00,1719.00,4488.00,-4627.00
-3597.00,3522.00,6015.00,2115.00,2239.00,-5737.00
-3090.00,4538.00,3584.00,2637.00,977.00,-5879.00
-3770.00,5973.00,3434.00,3326.00,266.00,-5812.00
-4077.00,6244.00,4765.00,4308.00,-701.00,-6423.00
-1408.00,4673.00,7659.00,4493.00,-1263.00,-6709.00
-44.00,3762.00,8582.00,4441.00,-1255.00,-6087.00
2064.00,1279.00,10141.00,4280.00,-1079.00,-5349.00
2926.00,508.00,10288.00,4023.00,-957.00,-4454.00
3349.00,252.00,10707.00,3593.00,-874.00,-2747.00
3151.00,1044.00,11525.00,3368.00,-1186.00,-2124.00
2448.00,1910.00,11529.00,2683.00,-1722.00,-1232.00
1671.00,3102.00,9689.00,2447.00,-1705.00,-992.00
1528.00,2943.00,8854.00,2439.00,-988.00,-666.00
3061.00,2973.00,8670.00,2570.00,-587.00,-248.00
4000.00,2965.00,9110.00,2696.00,-223.00,402.00
4436.00,2800.00,9749.00,2694.00,-11.00,1863.00
3838.00,2963.00,10488.00,2549.00,-163.00,2507.00
3216.00,3299.00,10133.00,2262.00,-21.00,3647.00
1634.00,3176.00,9449.00,2002.00,465.00,4197.00
856.00,2629.00,9284.00,1664.00,1078.00,4774.00
340.00,2115.00,9110.00,882.00,1633.00,5670.00
-6.00,1702.00,8285.00,454.00,1504.00,5857.00
-538.00,1534.00,8120.00,-368.00,1156.00,5993.00
-1096.00,1165.00,8555.00,-728.00,1016.00,6000.00
-1451.00,917.00,8938.00,-1086.00,972.00,5919.00
-1706.00,499.00,9263.00,-1929.00,970.00,5716.00
-1341.00,-36.00,9096.00,-2355.00,907.00,5707.00
-1226.00,13.00,8884.00,-2801.00,535.00,5454.00
-2191.00,-72.00,8751.00,-2884.00,235.00,5186.00
-3303.00,-1.00,8702.00,-3253.00,-251.00,4605.00
-4883.00,84.00,8769.00,-3542.00,-162.00,4278.00
-4957.00,227.00,8695.00,-3842.00,334.00,4054.00
-4536.00,602.00,8197.00,-4076.00,1932.00,3886.00
-2941.00,893.00,7459.00,-4076.00,2606.00,3706.00
-2239.00,263.00,7958.00,-3840.00,3392.00,2830.00
-4112.00,-1724.00,9531.00,-3766.00,3430.00,2096.00
-5550.00,-1991.00,10024.00,-3861.00,3161.00,1225.00
-4967.00,-1246.00,10123.00,-2880.00,1900.00,-2153.00
-3904.00,1650.00,8140.00,-1806.00,1338.00,-4103.00
-2958.00,2511.00,6713.00,-1537.00,1412.00,-3954.00
-2415.00,2832.00,5855.00,-1616.00,2158.00,-2901.00
-3308.00,2198.00,5984.00,-1184.00,2984.00,-2410.00
-4112.00,1475.00,6521.00,692.00,3328.00,-3493.00
-3536.00,417.00,8225.00,1238.00,3222.00,-4144.00
-3432.00,-381.00,8789.00,1631.00,3749.00,-4721.00
-3998.00,695.00,8917.00,1822.00,4051.00,-4832.00
-3695.00,1330.00,8977.00,1990.00,4165.00,-4771.00
-1398.00,1451.00,8308.00,2096.00,4004.00,-4381.00
-800.00,1937.00,7484.00,2352.00,3790.00,-3818.00
-1430.00,2847.00,7112.00,3402.00,2856.00,-3722.00
-640.00,3091.00,8341.00,3837.00,1677.00,-4348.00
872.00,2347.00,9221.00,4042.00,668.00,-4361.00
1165.00,-1164.00,11441.00,3981.00,1204.00,-3579.00
89.00,-2135.00,11585.00,3747.00,1419.00,-2741.00
-464.00,-1762.00,10876.00,2948.00,117.00,-1953.00
-19.00,-193.00,8951.00,2714.00,-340.00,-1639.00
160.00,527.00,8149.00,2877.00,-186.00,-412.00
807.00,1824.00,6832.00,3167.00,-117.00,84.00
1019.00,1958.00,6742.00,3475.00,-205.00,363.00
1174.00,1604.00,7033.00,3811.00,-630.00,787.00
1023.00,468.00,9583.00,3727.00,-803.00,1104.00
780.00,-280.00,10889.00,2997.00,-1002.00,1683.00
-367.00,-1494.00,12012.00,2404.00,-963.00,1921.00
-731.00,-1531.00,11445.00,1850.00,-914.00,2115.00
-643.00,-1105.00,10438.00,1106.00,-1104.00,2530.00
-91.00,644.00,8824.00,918.00,-1272.00,2891.00
-248.00,1146.00,8603.00,602.00,-1608.00,3552.00
-591.00,1060.00,9345.00,339.00,-1844.00,3643.00
-405.00,965.00,9831.00,63.00,-2000.00,3621.00
-92.00,805.00,10157.00,-541.00,-1684.00,3711.00
431.00,-512.00,10899.00,-980.00,-1344.00,3995.00
562.00,-1161.00,11016.00,-2091.00,-1059.00,4781.00
150.00,-1304.00,10651.00,-2671.00,-1251.00,5028.00
-252.00,-791.00,10191.00,-3111.00,-1577.00,5097.00
-515.00,-120.00,9824.00,-3513.00,-1888.00,4889.00
-667.00,752.00,10050.00,-3567.00,-1338.00,4808.00
-1264.00,123.00,10581.00,-3684.00,939.00,4748.00
-3130.00,-1458.00,11054.00,-3971.00,1609.00,4483.00
-3312.00,-1574.00,10625.00,-4906.00,1127.00,2960.00
-2555.00,-257.00,8616.00,-5138.00,629.00,1943.00
-2740.00,976.00,7152.00,-5039.00,349.00,1029.00
-3511.00,2079.00,5867.00,-4110.00,1085.00,-48.00
-5414.00,916.00,5965.00,-3329.00,1998.00,-539.00
-5226.00,406.00,6616.00,-1574.00,3333.00,-1537.00
-2770.00,-945.00,7483.00,-1327.00,3554.00,-1679.00
-2108.00,-1518.00,7385.00,-1361.00,3442.00,-1661.00
-2150.00,-1649.00,7141.00,-1148.00,2490.00,-2358.00
-1391.00,218.00,5437.00,-668.00,2190.00,-2943.00
-1765.00,256.00,4642.00,-114.00,2092.00,-3530.00
-2779.00,-168.00,4969.00,316.00,2015.00,-3406.00
-1967.00,70.00,5810.00,874.00,2147.00,-3160.00
-864.00,120.00,6545.00,1920.00,2824.00,-2697.00
-589.00,2165.00,6250.00,2473.00,3025.00,-2496.00
-1348.00,3108.00,6391.00,3763.00,2510.00,-2808.00
-8.00,2428.00,8983.00,4335.00,1841.00,-3307.00
989.00,297.00,11073.00,4634.00,1545.00,-3452.00
1187.00,-3033.00,13346.00,4337.00,1660.00,-2985.00
678.00,-2572.00,13324.00,3826.00,1557.00,-2537.00
360.00,-1155.00,12556.00,2743.00,655.00,-2251.00
1123.00,802.00,9963.00,2457.00,270.00,-2173.00
1794.00,481.00,8790.00,2618.00,424.00,-1324.00
2162.00,-364.00,8487.00,2912.00,568.00,-800.00
1886.00,-451.00,9020.00,3098.00,341.00,-443.00
1754.00,-277.00,9349.00,2853.00,-810.00,-37.00
1500.00,698.00,8768.00,2662.00,-1167.00,226.00
1672.00,516.00,8293.00,2523.00,-1554.00,891.00
2229.00,-797.00,8564.00,2505.00,-1622.00,1299.00
1992.00,-1027.00,9187.00,2456.00,-1600.00,1778.00
1503.00,-988.00,9669.00,2041.00,-1552.00,2588.00
513.00,-295.00,9529.00,1649.00,-1470.00,2812.00
197.00,229.00,9049.00,988.00,-1108.00,2818.00
245.00,653.00,8063.00,809.00,-950.00,2715.00
681.00,213.00,8127.00,663.00,-800.00,2706.00
1165.00,-378.00,8481.00,286.00,-486.00,3094.00
1462.00,-1162.00,9398.00,-12.00,-483.00,3367.00
1490.00,-1066.00,9667.00,-840.00,-687.00,4050.00
1391.00,-124.00,9894.00,-1265.00,-701.00,4377.00
1255.00,422.00,9885.00,-1850.00,-638.00,4590.00
1136.00,808.00,9874.00,-2050.00,-594.00,4428.00
292.00,-66.00,10072.00,-2252.00,-546.00,4185.00
-606.00,-875.00,10191.00,-2891.00,-631.00,4032.00
-2250.00,-1499.00,10143.00,-3307.00,-697.00,4059.00
-2787.00,-990.00,9942.00,-3911.00,-435.00,3559.00
-2448.00,88.00,9319.00,-3949.00,108.00,3006.00
-2113.00,-202.00,9100.00,-3867.00,981.00,2482.00
-1982.00,-746.00,9010.00,-3619.00,2871.00,1967.00
-2814.00,-290.00,8492.00,-3414.00,3328.00,1616.00
-4061.00,959.00,7709.00,-2704.00,2803.00,-523.00
-4657.00,856.00,7161.00,-2103.00,2041.00,-2222.00
-3309.00,182.00,7389.00,-1364.00,1429.00,-3645.00
-2107.00,-640.00,7775.00,-1078.00,1860.00,-3595.00
-1790.00,-1312.00,8204.00,-1256.00,2456.00,-2911.00
-2333.00,-736.00,7985.00,-1158.00,2710.00,-2924.00
-2541.00,313.00,7052.00,-779.00,2503.00,-3195.00
-1778.00,1379.00,6579.00,-319.00,2468.00,-3192.00
-815.00,1690.00,6212.00,511.00,3051.00,-2907.00
-57.00,1046.00,6408.00,1111.00,3601.00,-2474.00
66.00,862.00,7417.00,2232.00,3699.00,-1992.00
1071.00,-308.00,10042.00,2487.00,3320.00,-2000.00
885.00,-790.00,10436.00,2570.00,2732.00,-1906.00
34.00,-987.00,10114.00,2526.00,2252.00,-1948.00
-1047.00,-140.00,8075.00,2583.00,1589.00,-2101.00
-1005.00,863.00,7244.00,3038.00,689.00,-2112.00
324.00,1287.00,7532.00,3353.00,752.00,-1769.00
1247.00,210.00,8965.00,3699.00,1504.00,-535.00
1220.00,-1739.00,11544.00,3600.00,1681.00,59.00
714.00,-1520.00,11479.00,3346.00,1330.00,392.00
514.00,-849.00,10630.00,2708.00,-302.00,304.00
388.00,139.00,8579.00,2466.00,-808.00,316.00
173.00,417.00,7918.00,2329.00,-941.00,738.00
136.00,283.00,8015.00,2408.00,-861.00,972.00
176.00,-72.00,8715.00,2432.00,-717.00,1252.00
150.00,-369.00,9364.00,2138.00,-327.00,1938.00
427.00,-781.00,9690.00,1903.00,-333.00,2133.00
672.00,-817.00,9652.00,1350.00,-723.00,2339.00
621.00,-405.00,9545.00,986.00,-934.00,2559.00
508.00,5.00,9315.00,605.00,-1163.00,2804.00
550.00,371.00,9003.00,19.00,-1512.00,3336.00
952.00,829.00,8558.00,-213.00,-1531.00,3774.00
932.00,1061.00,8396.00,-777.00,-1602.00,4605.00
-450.00,1571.00,8092.00,-1168.00,-1603.00,4643.00
-2191.00,1052.00,8631.00,-1594.00,-1365.00,4457.00
-3577.00,-138.00,9600.00,-2159.00,-548.00,4135.00
-2865.00,-2105.00,10895.00,-2299.00,-330.00,3924.00
-2072.00,-2068.00,10662.00,-2821.00,-384.00,3322.00
-1387.00,-818.00,9477.00,-3113.00,-565.00,3049.00
-1217.00,160.00,8921.00,-3264.00,-777.00,2793.00
-1051.00,598.00,8487.00,-3210.00,-910.00,2426.00
-1332.00,-905.00,8722.00,-3256.00,-806.00,2427.00
-1918.00,-2076.00,9349.00,-3733.00,-312.00,2723.00
