aX,aY,aZ,gX,gY,gZ
-0.008,-0.922,2.000,93.262,32.349,92.102
-0.121,-0.920,2.085,101.135,44.861,94.604
-0.070,-0.881,2.109,125.122,60.303,67.139
-0.070,-0.771,1.987,151.245,70.313,31.555
-0.177,-0.564,1.909,168.152,78.552,18.372
-0.155,-0.500,1.644,150.146,92.468,24.841
-0.195,-0.623,1.557,118.774,104.553,49.988
-0.150,-0.759,1.662,87.891,120.483,90.393
-0.141,-0.900,1.824,75.378,140.991,122.253
-0.128,-1.020,1.977,76.416,162.354,142.639
-0.171,-0.996,2.043,92.102,189.575,161.133
-0.266,-0.915,1.999,113.037,214.661,186.646
-0.497,-0.664,1.926,116.028,238.281,218.445
-0.521,-0.618,1.708,101.746,250.854,240.967
-0.478,-0.652,1.607,60.486,250.549,247.437
-0.325,-0.757,1.552,8.972,245.117,250.305
-0.301,-0.785,1.546,-37.537,242.737,268.311
-0.374,-0.671,1.545,-64.148,249.329,286.316
-0.422,-0.604,1.504,-63.232,265.076,273.315
-0.297,-0.602,1.479,-46.387,285.950,236.694
-0.217,-0.543,1.376,-23.254,302.368,216.064
-0.308,-0.479,1.243,-4.456,314.331,214.294
-0.500,-0.289,1.110,4.272,321.960,202.332
-0.606,-0.045,0.774,4.089,324.707,175.659
-0.411,0.092,0.526,2.869,332.397,142.395
-0.184,0.094,0.390,4.395,336.975,119.324
-0.234,0.086,0.213,18.677,323.303,121.704
-0.348,0.167,0.032,36.621,309.509,127.502
-0.308,0.242,-0.083,50.232,300.476,115.845
-0.080,0.238,-0.146,56.274,287.659,95.764
-0.104,0.320,-0.208,59.753,269.165,102.539
-0.128,0.477,-0.272,58.533,254.639,118.347
-0.173,0.610,-0.323,46.265,248.230,129.456
-0.203,0.575,-0.494,37.231,239.014,135.132
-0.108,0.640,-0.720,9.888,224.976,120.605
-0.052,0.723,-0.969,-15.930,208.496,105.469
0.012,0.728,-1.189,-17.822,194.092,96.313
0.018,0.795,-1.400,-10.498,179.138,87.708
0.064,0.849,-1.535,-0.610,162.354,80.933
0.069,0.902,-1.634,12.451,142.578,66.101
0.147,0.941,-1.760,26.489,121.094,45.715
0.170,0.968,-1.854,46.265,99.365,27.527
0.160,1.011,-1.987,68.176,74.219,9.033
0.174,1.056,-2.079,81.482,46.204,-10.681
0.221,1.059,-2.142,89.844,15.808,-32.532
0.206,1.005,-2.191,97.351,-16.235,-51.575
0.220,0.947,-2.180,95.093,-50.537,-63.721
0.234,0.905,-2.084,80.261,-86.243,-67.932
0.225,0.841,-1.915,66.223,-122.375,-72.754
0.245,0.737,-1.685,55.542,-154.846,-82.581
0.279,0.605,-1.431,45.715,-180.420,-92.041
0.282,0.509,-1.175,41.260,-199.036,-99.487
0.310,0.421,-1.009,45.166,-211.609,-107.483
0.288,0.396,-0.886,46.753,-218.994,-114.563
0.254,0.323,-0.792,42.236,-221.985,-114.624
0.215,0.207,-0.716,29.663,-225.281,-112.793
0.213,0.072,-0.604,13.977,-228.027,-107.605
0.210,-0.023,-0.489,-2.197,-229.675,-102.234
0.201,-0.108,-0.382,-7.874,-232.117,-96.375
0.230,-0.208,-0.256,-4.517,-235.168,-89.355
0.079,-0.257,-0.182,1.770,-239.075,-86.060
0.122,-0.321,-0.051,18.555,-245.361,-76.843
-0.012,-0.136,0.010,51.636,-254.822,-79.773
0.073,-0.238,0.028,68.665,-250.732,-84.778
-0.010,-0.278,0.155,50.659,-254.395,-75.806
0.030,-0.284,0.229,16.296,-255.920,-58.960
-0.053,-0.289,0.306,-2.441,-263.184,-46.753
-0.028,-0.324,0.407,-16.602,-267.212,-39.063
-0.058,-0.349,0.533,-23.987,-277.466,-29.724
-0.144,-0.340,0.694,-34.424,-268.250,-9.460
0.140,-0.479,1.118,-37.842,-247.192,14.771
-0.242,-0.374,1.245,-18.555,-286.255,1.404
-0.073,-0.445,1.229,1.038,-298.767,0.000
-0.034,-0.383,1.251,8.728,-283.752,0.061
-0.104,-0.482,1.037,29.175,-281.067,-13.000
-0.022,-0.409,0.970,41.443,-280.945,-31.494
-0.085,-0.390,1.021,50.598,-281.982,-37.354
-0.156,-0.361,1.180,39.063,-273.682,-30.029
-0.012,-0.319,1.569,16.418,-246.033,-23.560
-0.003,-0.342,1.865,10.010,-236.694,-31.860
-0.073,-0.384,1.782,27.466,-236.206,-38.330
-0.035,-0.470,1.746,44.739,-200.562,-34.363
-0.064,-0.488,1.581,51.758,-177.002,-36.377
-0.111,-0.500,1.453,49.377,-161.316,-31.128
-0.148,-0.461,1.332,28.076,-153.198,-26.001
-0.136,-0.437,1.371,-6.042,-142.761,-11.902
-0.132,-0.384,1.451,-46.448,-145.996,-4.272
-0.213,-0.374,1.646,-70.374,-149.109,8.423
-0.108,-0.444,1.900,-66.589,-149.536,10.986
-0.037,-0.477,1.943,-43.213,-153.259,4.578
-0.041,-0.477,1.948,-7.507,-137.878,7.202
-0.067,-0.434,1.843,22.095,-118.591,8.667
-0.067,-0.370,1.743,32.471,-96.924,9.766
-0.125,-0.267,1.651,20.386,-74.341,14.587
-0.223,-0.151,1.550,-0.488,-57.190,21.301
-0.209,-0.177,1.468,-15.808,-50.720,22.888
-0.093,-0.190,1.450,-27.527,-50.049,19.714
-0.029,-0.188,1.419,-27.588,-54.626,20.752
0.034,-0.131,1.331,-19.287,-57.251,23.132
0.123,-0.096,1.230,-2.869,-55.969,19.897
0.146,-0.070,1.128,13.245,-54.565,15.686
0.143,-0.029,1.021,22.705,-51.819,13.000
0.138,-0.020,0.950,27.710,-47.485,7.935
0.199,-0.031,0.833,21.729,-41.687,4.395
0.522,-1.090,1.508,1.343,-42.603,8.545
0.637,0.027,1.724,-224.731,-53.223,52.917
0.567,1.140,2.321,-488.770,26.672,115.356
0.477,0.484,1.843,-309.326,43.274,77.209
0.151,0.141,1.178,-126.343,58.533,28.931
0.227,-0.014,0.911,-58.228,46.387,15.930
0.173,0.090,0.892,-31.799,15.503,9.827
0.272,0.152,0.937,-16.907,-5.615,5.859
0.229,0.264,1.029,-12.024,-14.893,1.343
0.157,0.126,0.964,-2.930,-18.982,1.953
0.185,0.085,1.018,7.202,-24.536,-3.052
0.147,0.109,1.078,16.724,-31.677,-1.465
0.174,0.241,1.086,33.020,-36.011,-1.160
0.144,0.182,1.125,50.171,-38.818,-6.165
0.063,0.194,1.162,67.993,-46.143,-2.258

0.202,0.187,2.540,20.752,-15.259,-6.470
0.102,0.071,2.519,10.254,20.813,-12.939
-0.006,-0.045,2.473,-16.846,55.237,-17.639
-0.075,-0.108,2.393,-56.580,84.229,-13.855
-0.126,-0.159,2.311,-75.684,104.248,-8.606
-0.183,-0.203,2.269,-61.523,114.502,-7.751
-0.246,-0.253,2.253,-27.649,119.629,-10.376
-0.269,-0.292,2.211,3.967,126.587,-12.573
-0.282,-0.245,2.194,22.400,139.648,-10.864
-0.316,-0.201,2.098,31.372,155.579,-8.057
-0.352,-0.190,1.997,28.625,175.598,-4.517
-0.387,-0.206,1.880,12.390,195.312,-1.343
-0.425,-0.242,1.731,-5.920,213.074,2.441
-0.461,-0.265,1.577,-19.165,224.426,8.911
-0.461,-0.272,1.450,-27.588,232.422,14.954
-0.430,-0.249,1.353,-29.846,237.732,18.311
-0.424,-0.227,1.226,-25.085,243.713,18.799
-0.437,-0.206,1.100,-20.508,249.817,21.729
-0.420,-0.137,1.035,-22.400,253.357,27.771
-0.382,-0.151,0.999,-28.564,253.540,32.043
