aX,aY,aZ,gX,gY,gZ
-0.171,0.312,1.060,1.404,11.536,-33.691
-0.192,0.335,1.066,2.319,13.489,-37.720
-0.210,0.349,1.071,2.136,14.465,-41.870
-0.229,0.381,1.081,0.183,15.747,-45.288
-0.256,0.397,1.089,-0.610,17.151,-50.110
-0.278,0.424,1.093,-0.610,18.677,-55.908
-0.291,0.442,1.100,1.587,22.034,-63.965
-0.306,0.444,1.117,4.456,22.095,-71.716
-0.322,0.454,1.122,7.324,23.682,-79.590
-0.328,0.458,1.098,11.902,27.588,-87.219
-0.359,0.469,1.063,15.991,29.175,-93.750
-0.362,0.471,1.024,18.799,31.738,-101.074
-0.360,0.452,0.990,18.799,31.677,-108.276
-0.373,0.444,0.969,13.306,30.762,-113.220
-0.381,0.450,0.963,5.188,30.518,-118.103
-0.402,0.434,0.963,-0.793,29.236,-122.681
-0.416,0.443,1.001,-7.080,27.588,-126.587
-0.418,0.438,1.042,-10.681,26.794,-131.592
-0.442,0.445,1.068,-11.536,25.696,-137.085
-0.450,0.442,1.061,-9.277,28.809,-143.860
-0.460,0.436,1.057,-7.202,30.396,-150.635
-0.490,0.442,1.049,-7.751,30.762,-157.043
-0.519,0.440,1.026,-7.324,34.058,-164.429
-0.546,0.434,1.014,-6.836,33.386,-172.058
-0.552,0.445,1.035,-9.827,30.396,-177.185
-0.570,0.476,1.077,-15.991,28.259,-181.580
-0.573,0.487,1.110,-19.592,28.503,-188.110
-0.584,0.491,1.156,-21.362,29.175,-196.289
-0.594,0.474,1.158,-18.005,31.189,-207.153
-0.591,0.418,1.100,-9.766,38.391,-218.750
-0.609,0.369,1.012,-3.296,45.593,-228.577
-0.664,0.365,0.916,0.671,48.828,-235.046
-0.751,0.381,0.833,3.601,48.462,-239.624
-0.801,0.352,0.821,2.747,39.429,-245.117
-0.822,0.302,0.843,-3.845,29.602,-252.441
-0.856,0.250,0.849,-10.620,21.484,-259.338
-0.849,0.148,0.872,-9.583,14.465,-268.433
-0.804,-0.036,0.939,-0.427,11.475,-282.959
-0.737,-0.255,0.993,7.080,16.418,-296.997
-0.644,-0.404,0.967,7.996,30.334,-304.810
-0.634,-0.493,0.850,8.972,46.021,-309.265
-0.652,-0.615,0.631,14.709,57.129,-315.491
-0.695,-0.809,0.438,13.794,57.068,-321.411
-0.649,-1.054,0.358,-1.648,43.945,-326.294
-0.590,-1.336,0.359,-27.588,24.292,-323.303
-0.501,-1.577,0.433,-59.570,3.174,-307.800
-0.388,-1.758,0.545,-88.013,-9.827,-280.640
-0.284,-1.831,0.701,-105.530,-17.151,-244.446
-0.227,-1.814,0.846,-105.469,-19.043,-203.979
-0.186,-1.716,0.934,-86.609,-16.113,-163.635
-0.205,-1.546,0.976,-56.580,-11.719,-128.540
-0.220,-1.364,0.995,-26.733,-12.756,-99.487
-0.209,-1.186,1.028,-3.418,-14.282,-77.209
-0.198,-1.014,1.058,13.062,-18.311,-61.890
-0.208,-0.900,1.092,25.146,-19.836,-50.537
-0.181,-0.796,1.141,30.029,-20.752,-43.091
-0.144,-0.709,1.184,29.358,-20.264,-38.391
-0.119,-0.652,1.203,25.696,-17.578,-35.828
-0.087,-0.634,1.210,21.912,-14.343,-36.743
-0.042,-0.638,1.220,18.494,-10.742,-39.246
-0.003,-0.688,1.213,16.968,-5.981,-41.687
